Unnamed: 0_x,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,prefecture_eng,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_ac_percap,en_computer_percap,en_cooking_percap,en_freezing_percap,en_heating_percap,en_laundry_percap,en_lighting_percap,en_television_percap,en_vehicle_percap,en_waterheating_percap,en_total,en_total_no_vehicle,en_total_percap
0,4,北京市,北京市,朝阳区,-1,66,2,1,4,3,-99,-99,3,3,0,4,72000,4,90000,6,18000,2,1250,3,45,1,0.429,90,1,1,1,4000,60,1,0,2.5,105,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3.266451563,32.59308,487.904625,18.51177041,1913.265306,30.576,4.217928,0,0,240.0446829,0.816612891,8.14827,121.9761563,4.627942603,478.3163265,7.644,1.054482,0,0,60.01117073,2730.379844,2730.379844,682.594961
1,14,北京市,北京市,海淀区,-1,51,4,1,4,1,5,2,5,5,0,4,70000,5,-99,7,14000,5,-99,1.607,45,2,0.857,22.5,-99,2,1.5,3366.667,120,-99,1,4.5,120,6000,1,-99,11,7.5,-99,1,2.25,1,11,0,0,0,0,1,0,0,0,0,0,Beijing,0,7,0,0,0,0,0,0,0,0,1,0,2,1,0,0,14.69039063,5.368272,362.7030225,0,1129.206122,0,2.9525496,0,3642.4575,595.0198504,2.938078126,1.0736544,72.5406045,0,225.8412244,0,0.59050992,0,728.4915,119.0039701,5752.397707,2109.940207,1150.479541
2,16,北京市,北京市,丰台区,-1,80,2,1,4,1,-99,3,4,4,0,0,0,1,18620,7,0,2,1250,1.714,18.75,0,-99,-99,-99,0,-99,-99,-99,-99,0,3.5,60,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,202.7449667,31.90946979,1394.081633,0,4.026204,33.5517,0,0,0,0,202.7449667,31.90946979,1394.081633,0,4.026204,33.5517,0,0,1666.313973,1666.313973,1666.313973
3,43,北京市,北京市,西城区,1,63,1,1,4,1,-99,3,4,4,0,3,50000,2,21700,7,25000,5,600,1.05,24.375,1,1,37.5,1,1,3.5,3333.333,480,3,0,3.5,40,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,109.68825,0,200.4149875,14.80941633,529.7142857,7.28,8.8576488,147.62748,0,139.79875,54.844125,0,100.2074938,7.404708165,264.8571429,3.64,4.4288244,73.81374,0,69.899375,1158.190818,1158.190818,579.0954092
4,44,北京市,北京市,大兴区,-1,32,2,1,5,3,-99,2,4,5,2,6,340000,3,60000,7,113333.3333,3,1250,3,17.5,1,3,15,2,1,2.833,2600,330,1.667,2,-99,-99,-99,1,2.75,-99,-99,0,1,0,7,0,0,0,1,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,19.683664,240.956625,23.96752027,0,0,24.157224,0,0,279.5429444,0,6.561221333,80.318875,7.989173423,0,0,8.052408,0,0,93.18098147,588.3079777,588.3079777,196.1026592
5,49,北京市,北京市,顺义区,-1,52,0,0,4,1,5,-99,5,4,2,4,60000,2,38600,0,30000,2,850,3,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,1,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,60,北京市,北京市,海淀区,1,57,2,1,4,1,2,-99,4,5,0,3,31200,2,13900,7,15600,2,150,1.214,52.5,1,0.429,22.5,1,1,1,2666.667,60,1,0,4.5,80,2224,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2.88046875,0,531.606712,14.80941633,1858.77551,4.47356,21.025732,120.78612,0,280.0521301,1.440234375,0,265.803356,7.404708165,929.387755,2.23678,10.512866,60.39306,0,140.0260651,2834.409649,2834.409649,1417.204825
7,67,北京市,北京市,昌平区,-1,40,2,1,6,4,2,-99,3,3,2,3,50000,3,24500,6,16666.66667,3,1250,2,22.5,1,1,15,3,1,1.5,2633.333,300,1,0,3.5,40,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49.177206,284.658894,31.90946979,1032.653061,5.43218,6.518616,57.5172,0,213.9826888,0,16.392402,94.886298,10.63648993,344.217687,1.810726667,2.172872,19.1724,0,71.32756293,1681.849316,1681.849316,560.6164385
8,77,北京市,北京市,丰台区,1,24,1,0,5,3,-99,-99,3,4,2,4,80000,2,45000,7,40000,1,-99,3,22.5,1,2,37.5,2,1,2.5,3333.333,210,2,0,3.5,40,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.874115,217.6218135,0,1293.061224,1.789424,8.8576488,44.7356,0,139.79875,0,15.9370575,108.8109068,0,646.530612,0.894712,4.4288244,22.3678,0,69.899375,1737.738575,1737.738575,868.8692877
9,78,北京市,北京市,昌平区,-1,52,3,0,4,1,5,1,4,2,0,3,50000,4,37000,7,12500,2,600,2.5,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,0,Beijing,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.60762,19.14568188,0,0.559195,4.920916,44.7356,0,0,0,0,19.651905,4.78642047,0,0.13979875,1.230229,11.1839,0,0,147.9690129,147.9690129,36.99225322
10,84,北京市,北京市,海淀区,1,76,2,1,4,4,5,-99,4,5,0,3,50000,2,50000,7,25000,4,1000,1.964,26.25,1,2,15,1,1,1,2666.667,60,1,0,3.5,60,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2.88046875,0,223.118805,37.02354082,878.2714286,0.559195,13.1522664,87.23442,0,143.052,1.440234375,0,111.5594025,18.51177041,439.1357143,0.2795975,6.5761332,43.61721,0,71.526,1385.292125,1385.292125,692.6460623
11,102,北京市,北京市,朝阳区,1,27,2,0,5,3,3,-99,3,4,2,7,600000,2,-99,0,300000,3,1050,0.762,20,1,1,22.5,1,1,2.5,4000,330,3,0,3.5,40,1800,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,1,0,0,0,Beijing,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,430.4571429,0,0,0,0,0,0,0,0,0,215.2285715,0,0,0,0,0,430.4571429,430.4571429,215.2285715
12,104,北京市,北京市,海淀区,1,71,2,1,4,1,-99,3,4,2,0,6,250000,4,280000,7,62500,5,1116.667,2.008,37.5,1,0.857,37.5,2,1,2.25,2666.667,375,3,0,4.5,60,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,80.653125,28.630784,272.5511425,37.02354082,1991.54519,7.28,8.8576488,107.36544,0,208.2569476,20.16328125,7.157696,68.13778563,9.255885205,497.8862975,1.82,2.2144122,26.84136,0,52.0642369,2742.163819,2742.163819,685.5409547
13,114,北京市,北京市,西城区,-1,48,1,1,4,1,3,3,1,4,2,7,-99,2,8000,7,4999999.5,3,600,1.667,25,1,0.857,22.5,2,1,2.5,3333.333,90,2,1,2.5,60,1200,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82625,22.144122,6.71034,14.85886253,255.3979592,15.84385833,4.026204,44.7356,0,208.2569476,6.913125,11.072061,3.35517,7.429431265,127.6989796,7.921929165,2.013102,22.3678,0,104.1284738,585.8001437,585.8001437,292.9000718
14,118,北京市,北京市,丰台区,1,44,0,0,4,1,-99,1,3,4,2,3,35000,2,60000,7,17500,3,1175,1.333,30,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,282.3436525,0,0,0,2.23678,13.42068,0,0,0,0,141.1718263,0,0,0,1.11839,6.71034,0,0,298.0011125,298.0011125,149.0005563
15,135,北京市,北京市,海淀区,1,71,2,1,3,2,-99,-99,4,4,0,4,100000,3,89100,7,33333.33333,3,625,1.154,50,1,0.857,37.5,1,1,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,1,0,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,873.0688709,25.91647858,0,0,8.052408,33.5517,0,223.1324439,0,0,291.022957,8.638826193,0,0,2.684136,11.1839,0,74.3774813,1163.721901,1163.721901,387.9073005
16,143,北京市,北京市,丰台区,1,56,2,1,4,1,3,-99,3,3,2,3,50000,3,17000,7,16666.66667,1,-99,3,37.5,1,0.429,22.5,-99,1,1.5,3000,150,1,0,4.5,60,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,3,1,0,0,25.49214844,14.762748,331.695,0,1792.390671,0,4.026204,0,0,280.0521301,8.497382813,4.920916,110.565,0,597.463557,0,1.342068,0,0,93.35071003,2448.418902,2448.418902,816.1396338
17,146,北京市,北京市,顺义区,1,27,3,1,5,2,1,-99,2,3,2,4,90000,2,18200,0,45000,3,1250,1.667,20,1,3,15,-99,1,-99,-99,-99,-99,0,4.5,105,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,1,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,15.9547349,3443.877551,0,0,0,0,0,0,0,0,7.97736745,1721.938776,0,0,0,0,0,3459.832286,3459.832286,1729.916143
18,147,北京市,北京市,西城区,-1,60,2,1,4,1,-99,1,1,4,0,5,140000,3,34400,7,46666.66667,7,1333.333,1.857,52.5,1,3,22.5,1,1,3.5,2844.444,260,1,0,4.5,80,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,3,1,0,0,90.02905078,98.865676,882.743225,61.62719486,1952.186589,0.223678,4.5630312,248.28258,0,399.3470634,30.00968359,32.95522533,294.2477417,20.54239829,650.728863,0.074559333,1.5210104,82.76086,0,133.1156878,3737.868088,3737.868088,1245.956029
19,158,北京市,北京市,顺义区,-1,39,2,1,5,5,-99,3,2,4,0,7,-99,2,140000,0,4999999.5,5,683.333,2.107,28.125,1,2,22.5,1,1,-99,2666.667,75,3,0,4.5,60,-99,1,2.25,9,6.5,15000,1,2.25,0,9,0,0,1,0,0,1,0,0,0,0,Beijing,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1464.139942,0,0,0,2980.1925,0,0,0,0,0,732.069971,0,0,0,1490.09625,0,4444.332442,1464.139942,2222.166221
20,170,北京市,北京市,朝阳区,-1,24,2,0,5,2,3,3,4,4,2,6,300000,8,97000,0,37500,3,725,0.714,22.5,1,2,37.5,2,1,1.5,3333.333,150,1,0,3.5,60,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,7,0,0,0,0,0,0,0,0,1,1,2,1,1,0,14.69039063,0,0,0,1530.612245,0,0,0,0,0,1.836298829,0,0,0,191.3265306,0,0,0,0,0,1545.302636,1545.302636,193.1628295
21,193,北京市,北京市,东城区,1,24,2,1,5,3,-99,3,3,4,0,5,200000,3,50000,7,66666.66667,5,666.667,1.214,16.875,1,1,22.5,1,1,1,2666.667,150,3,0,3.5,60,-99,1,0.5,7,7.5,-99,1,1.75,0,9,0,1,0,0,0,1,0,0,0,0,Beijing,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10.08164063,68.445468,89.07959667,31.90946979,878.2714286,4.175322667,8.8576488,98.41832,2317.9275,312.0580878,3.360546875,22.815156,29.69319889,10.63648993,292.7571429,1.391774222,2.9525496,32.80610667,772.6425,104.0193626,3819.224483,1501.296983,1273.074828
22,205,北京市,北京市,朝阳区,1,60,2,1,5,2,3,-99,3,4,2,5,180000,5,33000,7,36000,10,850,1.05,45,0,-99,-99,-99,0,1,3355.556,90,2,0,3.5,80,2500,1,2.25,9,6,6000,1,0.5,0,9,0,0,1,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7.7427,3.578848,497.6451025,15.9547349,1518.367347,5.824,82.1345616,0,662.265,0,1.54854,0.7157696,99.5290205,3.19094698,303.6734694,1.1648,16.42691232,0,132.453,0,2793.512294,2131.247294,558.7024588
23,208,北京市,北京市,西城区,1,29,0,0,5,2,-99,2,4,5,2,7,500000,1,37000,7,500000,4,1116.667,0.857,16.875,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Beijing,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19.683664,42.2192225,0,0,0,4.026204,0,0,0,0,19.683664,42.2192225,0,0,0,4.026204,0,0,0,65.9290905,65.9290905,65.9290905
24,218,北京市,北京市,房山区,1,66,1,1,4,2,2,2,2,4,0,4,80000,2,20000,7,40000,1,-99,3,22.5,1,1,15,-99,1,1.5,3333.333,90,2,0,2.5,40,800,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,5.807025,0,199.017,0,728.8629738,4.47356,2.23678,67.1034,0,187.2348527,2.9035125,0,99.5085,0,364.4314869,2.23678,1.11839,33.5517,0,93.61742635,1194.735591,1194.735591,597.3677957
25,235,北京市,北京市,房山区,-1,33,3,0,5,6,-99,-99,3,4,2,6,300000,4,200000,6,75000,2,400,1.928,30,1,2,37.5,-99,1,1.5,2866.667,290,-99,0,3.5,105,2500,1,2.75,7,6.5,15000,1,3.75,1,9,0,0,0,0,0,1,0,0,0,0,Beijing,0,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,19.939296,288.14448,0,1793.571429,0,54.833064,0,4966.9875,306.54,0,4.984824,72.03612,0,448.3928573,0,13.708266,0,1241.746875,76.635,7430.015769,2463.028269,1857.503942
26,237,北京市,北京市,昌平区,-1,55,2,0,6,4,2,3,4,4,2,3,50000,2,25300,7,25000,2,600,1.5,22.5,1,0.857,22.5,2,1,1,2666.667,210,3,0,4.5,40,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,22.815156,155.146719,45.67245997,752.8040816,5.032755,8.8576488,60.39306,0,208.2569476,0,11.407578,77.5733595,22.83622999,376.4020408,2.5163775,4.4288244,30.19653,0,104.1284738,1258.978828,1258.978828,629.489414
27,242,北京市,北京市,大兴区,1,60,2,1,4,3,-99,-99,4,5,0,3,50000,2,50000,7,25000,1,-99,3,22.5,1,0.429,22.5,-99,1,1.5,-99,120,2,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,199.017,2.90086089,0,5.338666667,4.920916,0,0,214.578,0,0,99.5085,1.450430445,0,2.669333334,2.460458,0,0,107.289,426.7554436,426.7554436,213.3777218
28,250,北京市,北京市,顺义区,1,27,2,1,5,1,-99,-99,3,5,2,3,50000,3,42000,7,16666.66667,3,1375,0.487,55,1,1,22.5,-99,1,2.5,2633.333,90,3,0,4.5,80,1300,1,2.75,9,7.5,13000,1,1.25,0,9,0,0,0,0,0,1,0,0,0,0,Beijing,0,7,0,0,0,0,0,0,0,0,1,1,2,1,1,0,13.87905859,38.02526,123.2400867,12.76378792,1756.96793,5.032755,1.9683664,20.13102,1655.6625,83.87925,4.626352865,12.67508667,41.08002889,4.254595973,585.6559767,1.677585,0.656122133,6.71034,551.8875,27.95975,3711.550015,2055.887515,1237.183338
29,253,北京市,北京市,丰台区,1,59,1,0,4,1,-99,-99,4,4,0,3,50000,3,45000,7,16666.66667,6,400,1.476,114.375,1,1,22.5,-99,1,1,3400,60,1,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,1,0,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,373.8869225,12.76378792,0,0.671034,6.4419264,107.36544,0,234.0435659,0,0,124.6289742,4.254595973,0,0.223678,2.1473088,35.78848,0,78.01452197,735.1726767,735.1726767,245.0575589
30,257,北京市,北京市,海淀区,-1,60,2,1,4,6,-99,2,4,4,0,5,150000,2,30000,7,75000,7,683.333,2.25,26.25,1,0.857,52.5,2,1,1,3333.333,60,3,0,3.5,60,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.4844125,28.071589,389.0124875,15.9547349,1135.102041,8.872560667,9.841832,304.20208,0,208.2569476,2.74220625,14.0357945,194.5062438,7.97736745,567.5510205,4.436280334,4.920916,152.10104,0,104.1284738,2104.798685,2104.798685,1052.399343
31,259,北京市,北京市,朝阳区,-1,29,2,1,5,4,-99,2,2,5,2,6,400000,4,65000,7,100000,8,1333.333,0.989,41.25,1,1,22.5,2,1,1.5,3333.333,120,2,0,3.5,80,2700,1,2.75,9,6.5,10000,1,1.75,0,9,0,0,1,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,22.4753375,39.702845,228.770834,18.51177041,1518.367347,15.65746,8.8576488,139.79875,2317.9275,83.87925,5.618834375,9.92571125,57.19270849,4.627942603,379.5918368,3.914365,2.2144122,34.9496875,579.481875,20.9698125,4393.948743,2076.021243,1098.487186
32,267,北京市,北京市,昌平区,1,61,2,1,6,3,-99,3,2,4,0,3,50000,2,31000,7,25000,2,600,1.5,22.5,1,2,15,1,1,1,2666.667,60,2,0,4.5,40,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2.711029412,0,92.6716245,31.90946979,553.444898,0.2795975,3.0420208,67.1034,0,355.7025756,1.355514706,0,46.33581225,15.9547349,276.722449,0.13979875,1.5210104,33.5517,0,177.8512878,1106.864616,1106.864616,553.4323078
33,268,北京市,北京市,西城区,1,68,3,1,5,6,-99,-99,2,4,2,5,200000,2,-99,6,100000,5,983.333,2.25,22.5,1,2,22.5,-99,1,1.25,3033.333,315,-99,0,4.5,120,9998,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,7,0,0,0,0,0,0,0,0,1,3,2,1,1,0,7.201171875,13.89999,348.777195,31.9094698,3243.148688,3.578848,29.142048,23.00688,0,304.887922,3.600585938,6.949995,174.3885975,15.9547349,1621.574344,1.789424,14.571024,11.50344,0,152.443961,4005.552213,4005.552213,2002.776106
34,270,北京市,北京市,房山区,1,34,2,1,3,1,-99,-99,3,3,2,3,40000,1,30000,7,40000,5,150,1.215,18.75,1,1,22.5,-99,1,2.5,2666.667,450,-99,0,3.5,105,1000,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,7,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,29.972852,78.64129,12.76378792,1992.857143,0.2795975,7.605052,20.13102,0,187.2348527,0,29.972852,78.64129,12.76378792,1992.857143,0.2795975,7.605052,20.13102,0,187.2348527,2329.485595,2329.485595,2329.485595
35,280,北京市,北京市,海淀区,1,26,2,1,6,3,-99,3,2,4,2,7,-99,2,95000,7,4999999.5,2,1500,0.033,15,1,1,37.5,-99,1,3.5,2600,480,2,0,4.5,40,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,142.7085882,32.209632,0.559195,0,1327.696793,4.47356,10.736544,0,0,357.63,71.35429412,16.104816,0.2795975,0,663.8483965,2.23678,5.368272,0,0,178.815,1876.014312,1876.014312,938.0071561
36,293,北京市,北京市,丰台区,-1,45,0,0,5,1,2,-99,4,3,2,7,-99,2,12500,7,4999999,3,966.667,2,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Beijing,0,7,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1.677585,78.2873,0,0,0,5.815628,0,0,0,0,0.8387925,39.14365,0,0,0,2.907814,0,0,0,85.780513,85.780513,42.8902565
37,303,北京市,北京市,房山区,1,25,2,1,5,3,-99,-99,4,4,2,7,800000,3,97000,7,266666.6667,3,833.333,0.319,25,1,3,22.5,3,1,-99,-99,-99,-99,0,4.5,15,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Beijing,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69.787536,8.089687667,19.14568188,491.9825073,11.648,4.026204,0,0,83.87925,0,23.262512,2.696562556,6.38189396,163.9941691,3.882666667,1.342068,0,0,27.95975,688.5588668,688.5588668,229.5196223
38,304,北京市,北京市,昌平区,1,60,1,1,4,1,-99,3,2,5,0,4,66000,1,30600,7,66000,3,150,1.952,37.5,0,-99,-99,-99,0,3.5,3333.333,210,3,0,4.5,40,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,1,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,115.35524,15.9547349,752.8040816,0,22.3678,125.25968,0,0,0,0,115.35524,15.9547349,752.8040816,0,22.3678,125.25968,0,0,1031.741537,1031.741537,1031.741537
39,317,北京市,北京市,朝阳区,-1,55,1,1,1,2,-99,2,4,3,2,2,25000,1,12600,7,25000,4,1500,0.964,18.75,1,1,22.5,2,1,2,2966.667,90,3,0,3.5,40,1700,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,0,13.2775207,30.755725,149.45385,12.76378792,756.7346939,3.2032,2.9525496,0,0,214.578,13.2775207,30.755725,149.45385,12.76378792,756.7346939,3.2032,2.9525496,0,0,214.578,1183.719327,1183.719327,1183.719327
40,319,北京市,北京市,朝阳区,1,66,2,1,4,3,5,-99,4,5,0,4,66000,2,11000,7,33000,2,-99,1.714,63.75,1,0.1,37.5,2,1,2.5,3000,105,1,0,4.5,80,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,46.51957031,0,796.068,19.97293356,1945.889213,3.35517,2.23678,87.23442,0,190.4354485,23.25978516,0,398.034,9.98646678,972.9446065,1.677585,1.11839,43.61721,0,95.21772425,3091.711535,3091.711535,1545.855768
41,321,北京市,北京市,丰台区,-1,63,1,1,4,1,-99,2,2,4,0,3,30000,1,22200,7,30000,1,-99,3,37.5,1,0.429,37.5,-99,1,1.5,3000,120,-99,0,4.5,40,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,21.59487422,0,362.7030225,0,1311.953353,0,4.920916,60.39306,0,280.0521301,21.59487422,0,362.7030225,0,1311.953353,0,4.920916,60.39306,0,280.0521301,2041.617356,2041.617356,2041.617356
42,337,北京市,北京市,海淀区,-1,48,0,1,5,1,2,-99,3,3,0,1,5000,1,2500,7,5000,1,-99,3,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57.373407,217.6218135,0,0,0,21.473088,0,0,0,0,57.373407,217.6218135,0,0,0,21.473088,0,0,0,296.4683085,296.4683085,296.4683085
43,345,北京市,北京市,丰台区,1,20,0,0,5,5,2,3,2,4,2,6,300000,1,70000,7,3092.783505,1,1500,0.1,15,1,3,52.5,2,1,-99,-99,-99,3,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,Beijing,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3979875,0,0,0,2.23678,0,0,195.71825,0,0,1.3979875,0,0,0,2.23678,0,0,195.71825,199.3530175,199.3530175,199.3530175
44,346,北京市,北京市,西城区,-1,34,3,1,5,1,-99,2,4,4,0,5,150000,3,112000,3,50000,4,-99,2.107,50.625,1,1,37.5,-99,1,2.5,2666.667,150,-99,0,5.5,105,3000,1,2.25,11,6.5,16000,1,2.25,0,11,0,0,0,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,54.00878907,14.043783,199.017,0,3131.632653,0,27.224808,0,3642.4575,59.91375,18.00292969,4.681261,66.339,0,1043.877551,0,9.074936,0,1214.1525,19.97125,7128.298283,3485.840783,2376.099428
45,366,北京市,北京市,东城区,-1,44,1,1,5,1,1,3,2,5,2,6,400000,1,-99,2,400000,0,-99,-99,-99,1,0.1,180,2,1,-99,-99,-99,-99,0,4.5,60,2000,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,7,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,8.180224,0,15.9547349,1967.930029,0,15.33792,7.66896,0,54.41012813,0,8.180224,0,15.9547349,1967.930029,0,15.33792,7.66896,0,54.41012813,2069.481996,2069.481996,2069.481996
